"Overall","Covariate","Model"
100,"Mr_Atlantic_predicted_prob","M5"
76.7495045337279,"Mr_EastIndian_predicted_prob","M5"
66.9362622482534,"Mr_WestPacific_predicted_prob","M5"
61.0832315357344,"Mr_Pacific_predicted_prob","M5"
58.7441386690857,"Mr_EastPacific_predicted_prob","M5"
46.6355923268675,"ICEDIST","M5"
46.5323763041722,"SST","M5"
34.0705226965274,"SLOPEDIST","M5"
14.6753354110204,"SHELFDIST","M5"
13.8961312896314,"DEPTH","M5"
12.1768441249624,"SSTVAR","M5"
10.2805972322045,"SSTFRONT","M5"
8.55361639577419,"SLOPE","M5"
6.3163214587112,"ICE","M5"
0,"ICEVAR","M5"
