"Model","N_tracks","Internal_cross_validation_mean","Internal_cross_validation_sd","External_validation_all_tracks","External_validation_catches_and_sightings","Rank"
"M1",168,0.792,0.029,0.948,0.772,4
"M2",168,NA,NA,0.87,0.805,2
"M3",168,NA,NA,0.937,0.764,5
"M4",168,0.922,0.031,0.964,0.782,3
"M5",168,0.915,0.032,0.966,0.821,1
"Mr_Atlantic",41,0.886,0.042,0.685,0.702,6
"Mr_EastIndian",15,0.806,0.084,0.743,0.677,8
"Mr_EastPacific",50,0.711,0.081,0.628,0.628,9
"Mr_Pacific",18,0.822,0.048,0.641,0.681,7
"Mr_WestPacific",29,0.84,0.039,0.689,0.596,10
